Ride ID,Request Time,Pickup Location,latitude,longitude,Dropoff Location,,,Ride Distance (in miles),Fare Amount (in $),Payment Method,Driver ID,Vehicle Type,Traffic Condition,Peak Hours,Day of Week,Public Holiday,User Rating
136,7/25/23 7:00,"25.418816,-135.878972",25.418816,-135.878972,"-62.019123,-157.410418",-62.019123,-157.410418,7169.75284684188,736.98,Apple Pay,JG1659,SUV,High,Yes,Friday,Yes,4
137,7/18/23 1:34,"-28.510471,88.282253",-28.510471,88.282253,"-31.580408,81.921525",-31.580408,81.921525,8235.29539804027,843.53,Visa,DW3907,SUV,Low,Yes,Sunday,Yes,4
138,10/8/23 7:35,"-79.439076,99.499045",-79.439076,99.499045,"9.558862,-56.734053",9.558862,-56.734053,11679.8853905557,1187.99,Cash,VZ4355,Motorcycle,High,Yes,Monday,Yes,3
139,3/27/22 10:56,"-79.710419,34.306239",-79.710419,34.306239,"-40.385271,124.59278",-40.385271,124.59278,9272.30914695363,947.23,PayPal,RV3568,Bus,Low,Yes,Thursday,No,1
140,7/4/23 6:14,"-13.198304,-48.254353",-13.198304,-48.254353,"84.580467,97.726458",84.580467,97.726458,2537.02708790086,273.70,Apple Pay,RB3273,Motorcycle,Medium,Yes,Tuesday,Yes,3
141,8/13/23 21:27,"-3.554688,-6.709118",-3.554688,-6.709118,"-4.101956,-33.362983",-4.101956,-33.362983,2025.08407777518,222.51,Visa,PH4473,Sedan,High,Yes,Monday,No,3
142,7/19/24 15:56,"-88.357367,91.741252",-88.357367,91.741252,"-57.558478,-143.948378",-57.558478,-143.948378,12277.4559649693,1247.75,Visa,EC3160,Sedan,Medium,No,Saturday,Yes,3
143,2/18/22 20:17,"48.084404,145.45189",48.084404,145.45189,"30.100343,-173.133174",30.100343,-173.133174,1515.73203474304,171.57,PayPal,AT0656,Motorcycle,Low,Yes,Tuesday,Yes,4
144,11/27/22 12:35,"36.307321,111.886422",36.307321,111.886422,"-53.414149,-149.167466",-53.414149,-149.167466,3771.40993689376,397.14,Apple Pay,RB9039,Bus,High,No,Friday,No,2
145,8/1/22 22:55,"3.893401,-113.309282",3.893401,-113.309282,"-35.761781,-96.212906",-35.761781,-96.212906,7248.00174631778,744.80,Cash,YP0733,Sedan,High,Yes,Wednesday,Yes,2
146,11/25/24 21:22,"-45.24675,-142.941555",-45.24675,-142.941555,"0.327851,-44.335547",0.327851,-44.335547,6106.57417456639,630.66,Visa,FE0992,Sedan,Low,Yes,Monday,Yes,4
147,2/20/24 21:04,"-25.016254,78.409308",-25.016254,78.409308,"-8.549961,25.136868",-8.549961,25.136868,7271.38659812783,747.14,Cash,QP9067,Motorcycle,Low,No,Wednesday,Yes,2
148,10/7/23 15:41,"48.153959,80.67687",48.153959,80.67687,"14.625631,-27.890451",14.625631,-27.890451,2448.55458728581,264.86,Apple Pay,MO5285,Bus,High,No,Sunday,Yes,2
149,9/30/23 13:01,"31.791095,-55.372506",31.791095,-55.372506,"74.811998,149.422112",74.811998,149.422112,7447.18339396281,764.72,Visa,IB8931,Bus,High,No,Sunday,No,4
150,8/15/22 17:17,"-8.832842,-178.15031",-8.832842,-178.15031,"78.247792,112.687826",78.247792,112.687826,9953.69099728337,1015.37,Debit Card,NY4413,SUV,Medium,No,Saturday,No,3
151,3/19/23 4:49,"-88.887518,151.70481",-88.887518,151.70481,"-68.828316,-115.043065",-68.828316,-115.043065,8226.88992001295,842.69,Debit Card,BQ2674,Bus,Low,No,Tuesday,No,4
152,5/11/23 14:51,"48.872277,-27.103834",48.872277,-27.103834,"63.163108,71.260929",63.163108,71.260929,5273.57112939793,547.36,Cash,YR3703,Motorcycle,High,No,Thursday,Yes,3
153,4/23/23 13:46,"74.049386,24.680261",74.049386,24.680261,"-72.953258,97.706289",-72.953258,97.706289,5602.32080550865,580.23,Apple Pay,RY6858,Sedan,High,No,Tuesday,No,5
154,2/28/22 16:43,"-30.093181,-58.211424",-30.093181,-58.211424,"39.287686,-43.089079",39.287686,-43.089079,4206.57795572843,440.66,Apple Pay,KW4556,SUV,Low,No,Tuesday,Yes,1
155,5/19/22 10:36,"-72.912862,53.870367",-72.912862,53.870367,"8.199224,-49.153553",8.199224,-49.153553,9171.48238039299,937.15,Debit Card,CG3877,Motorcycle,High,Yes,Friday,No,1
156,1/29/24 21:24,"-37.627475,-5.956113",-37.627475,-5.956113,"-39.590631,133.020013",-39.590631,133.020013,9388.66177139697,958.87,Debit Card,FQ8207,SUV,Medium,No,Thursday,No,5
157,2/23/24 1:21,"-33.451271,85.598784",-33.451271,85.598784,"72.601836,-50.056222",72.601836,-50.056222,8688.55191550725,888.86,PayPal,ML1528,Bus,Low,Yes,Monday,Yes,1
158,5/16/22 17:15,"54.109446,86.088506",54.109446,86.088506,"-47.789916,-55.781641",-47.789916,-55.781641,2212.57739501064,241.26,Cash,HZ9816,Motorcycle,Low,Yes,Saturday,Yes,3
159,12/2/22 5:35,"54.861305,-4.761401",54.861305,-4.761401,"-37.722294,96.774738",-37.722294,96.774738,8155.34586186884,835.53,Visa,EJ9694,Sedan,Low,No,Saturday,No,4
160,3/29/23 16:05,"65.381357,96.534269",65.381357,96.534269,"-83.6418,-12.749635",-83.6418,-12.749635,1894.46347973443,209.45,Debit Card,OZ8988,Bus,Low,Yes,Thursday,No,1
161,1/27/22 3:42,"-1.716831,155.297915",-1.716831,155.297915,"-39.514312,-12.28436",-39.514312,-12.28436,10024.7940127458,1022.48,Debit Card,TL7080,Motorcycle,Low,Yes,Thursday,Yes,5
162,2/20/23 0:25,"60.187292,-64.27981",60.187292,-64.27981,"-57.78304,-164.814765",-57.78304,-164.814765,10202.9412122779,1040.29,Apple Pay,PH6234,SUV,Medium,Yes,Friday,Yes,2
163,3/26/24 17:24,"14.951313,-92.777712",14.951313,-92.777712,"-37.360983,-49.988064",-37.360983,-49.988064,7439.10955830908,763.91,Visa,ZL7000,SUV,Medium,No,Wednesday,No,1
164,8/30/23 16:05,"-50.828146,65.264209",-50.828146,65.264209,"-87.495336,18.609632",-87.495336,18.609632,9744.61078206328,994.46,PayPal,EH0447,SUV,Medium,Yes,Friday,No,2
165,1/6/22 3:36,"0.474257,7.539536",0.474257,7.539536,"28.642196,147.995277",28.642196,147.995277,8222.7933322491,842.28,Debit Card,TA4406,Sedan,Medium,Yes,Monday,Yes,1
166,9/2/22 13:13,"12.715605,51.690874",12.715605,51.690874,"19.646068,-73.47315",19.646068,-73.47315,5663.44416939932,586.34,Debit Card,PR9296,Sedan,Medium,Yes,Friday,No,3
167,12/23/24 23:39,"-20.117599,99.734824",-20.117599,99.734824,"89.689922,84.473823",89.689922,84.473823,8278.51240186823,847.85,Cash,YW0596,Bus,Medium,No,Thursday,No,4
168,5/13/23 13:05,"83.131721,139.272875",83.131721,139.272875,"38.416962,-39.319623",38.416962,-39.319623,3528.02496111447,372.80,Cash,KN0569,Sedan,Low,Yes,Monday,No,4
169,4/18/23 23:27,"59.706493,-143.124273",59.706493,-143.124273,"-22.15812,-48.675646",-22.15812,-48.675646,10471.5006348199,1067.15,PayPal,GB9741,Motorcycle,Low,Yes,Sunday,No,1
170,1/2/24 11:49,"73.361263,-130.47329",73.361263,-130.47329,"14.484914,143.903867",14.484914,143.903867,8820.32157667954,902.03,Visa,KW1180,Sedan,Medium,Yes,Wednesday,Yes,3
171,12/9/22 7:53,"-73.109432,4.532765",-73.109432,4.532765,"81.44528,-87.772008",81.44528,-87.772008,7677.35796827012,787.74,Apple Pay,BA5729,Bus,Low,No,Wednesday,Yes,5
172,8/24/24 10:44,"-15.863137,-23.145377",-15.863137,-23.145377,"-27.601744,-103.279703",-27.601744,-103.279703,4903.11806453542,510.31,Visa,RT9064,Bus,Medium,Yes,Saturday,Yes,1
173,12/10/24 14:31,"-84.103862,-141.297959",-84.103862,-141.297959,"-31.339773,117.145106",-31.339773,117.145106,3202.37425699632,340.24,Visa,AK8438,Motorcycle,High,No,Wednesday,No,4
174,8/12/23 18:45,"-24.30722,-109.834848",-24.30722,-109.834848,"52.927833,87.467324",52.927833,87.467324,5692.72892169615,589.27,PayPal,HT5902,Motorcycle,Low,Yes,Wednesday,No,1
175,10/26/23 3:35,"-30.680169,84.613112",-30.680169,84.613112,"66.821434,-40.070941",66.821434,-40.070941,8437.0683568115,863.71,Visa,RS8229,Motorcycle,Low,Yes,Wednesday,Yes,4
176,9/15/23 21:21,"-26.991075,73.702937",-26.991075,73.702937,"34.453008,151.735126",34.453008,151.735126,8525.4654832081,872.55,Visa,KN3692,Sedan,High,Yes,Tuesday,No,5
177,11/16/22 20:40,"14.791972,-143.366894",14.791972,-143.366894,"-26.453321,116.546624",-26.453321,116.546624,4293.76878815256,449.38,Cash,ZS3546,Motorcycle,High,No,Saturday,Yes,1
178,12/3/22 12:18,"51.436471,-64.822106",51.436471,-64.822106,"84.64715,104.360116",84.64715,104.360116,8102.09977950397,830.21,Debit Card,WQ5432,Motorcycle,High,No,Thursday,No,4
179,5/21/23 3:21,"-55.857148,127.257995",-55.857148,127.257995,"53.764353,145.451648",53.764353,145.451648,9013.49208858222,921.35,Visa,YL5910,Motorcycle,High,Yes,Sunday,No,4
180,4/22/23 10:32,"-44.636935,-32.317538",-44.636935,-32.317538,"83.289659,123.064361",83.289659,123.064361,2286.53514192373,248.65,Visa,OW9815,Motorcycle,High,No,Tuesday,Yes,2
181,5/8/24 1:15,"36.420981,113.52645",36.420981,113.52645,"53.552907,-39.664775",53.552907,-39.664775,3854.17363402348,405.42,Visa,SW8159,Motorcycle,Low,Yes,Thursday,Yes,2
182,6/24/24 11:01,"78.494597,-15.174493",78.494597,-15.174493,"-20.319649,122.41437",-20.319649,122.41437,7889.98576901546,809.00,Cash,FW3694,Sedan,Low,No,Saturday,No,3
183,1/13/24 18:39,"0.927049,-119.465326",0.927049,-119.465326,"-48.144969,-159.981728",-48.144969,-159.981728,5547.05931281556,574.71,Visa,YQ5627,Bus,High,Yes,Tuesday,No,1
184,10/26/24 18:05,"77.057666,43.647787",77.057666,43.647787,"-58.681926,82.550866",-58.681926,82.550866,3930.58404738682,413.06,Cash,VO0901,SUV,High,Yes,Wednesday,Yes,1
185,5/28/22 6:51,"38.703588,-122.754672",38.703588,-122.754672,"75.882177,-87.121483",75.882177,-87.121483,6703.31827493562,690.33,Visa,UE4036,Bus,High,Yes,Tuesday,No,1
186,4/16/22 13:09,"55.499547,-159.211694",55.499547,-159.211694,"48.192392,-34.498243",48.192392,-34.498243,7676.18463501006,787.62,Apple Pay,IY2517,Sedan,Medium,No,Friday,No,4
187,3/9/24 12:10,"62.099023,5.359283",62.099023,5.359283,"63.230864,114.428972",63.230864,114.428972,4699.13387411421,489.91,Apple Pay,XV1872,Motorcycle,Medium,No,Tuesday,Yes,1
188,7/29/22 10:42,"-77.525325,-122.400495",-77.525325,-122.400495,"19.741078,134.230609",19.741078,134.230609,2022.1302134547,222.21,Apple Pay,EX2348,Bus,High,Yes,Thursday,Yes,2
189,12/21/24 20:22,"37.354254,164.11836",37.354254,164.11836,"-15.658903,-20.205563",-15.658903,-20.205563,8747.21675017028,894.72,PayPal,KH4259,Sedan,Low,No,Wednesday,No,5
190,3/5/23 2:32,"-16.054442,-87.33995",-16.054442,-87.33995,"46.070514,-178.252054",46.070514,-178.252054,5241.52643707884,544.15,Debit Card,LB9873,Bus,Low,No,Wednesday,Yes,3
191,12/9/24 13:08,"77.106762,-11.623256",77.106762,-11.623256,"21.920726,-172.765463",21.920726,-172.765463,7881.79744866491,808.18,Apple Pay,KD5382,Bus,High,Yes,Saturday,No,1
192,6/23/23 5:04,"-18.757872,79.097316",-18.757872,79.097316,"-63.088831,97.98128",-63.088831,97.98128,8224.26406232474,842.43,Visa,SC2590,Motorcycle,Medium,Yes,Monday,No,2
193,4/19/22 21:21,"-5.961682,109.853988",-5.961682,109.853988,"-82.712455,165.736103",-82.712455,165.736103,6114.28521534454,631.43,Debit Card,ZA8912,Motorcycle,Medium,No,Thursday,Yes,1
194,1/4/24 4:32,"17.955816,38.099209",17.955816,38.099209,"-7.312383,-131.449942",-7.312383,-131.449942,7137.13258575002,733.71,Visa,QU9528,Motorcycle,Low,Yes,Saturday,No,3
195,5/3/23 22:54,"28.84205,-11.794319",28.84205,-11.794319,"-43.47134,-145.377798",-43.47134,-145.377798,7323.81001391663,752.38,Visa,YG2734,Motorcycle,High,No,Sunday,No,4
196,6/17/24 6:46,"54.064082,-48.120632",54.064082,-48.120632,"89.162588,17.596297",89.162588,17.596297,8196.18524077828,839.62,Visa,BE9631,SUV,Low,No,Thursday,Yes,3
197,9/12/22 8:55,"-39.011825,-60.649578",-39.011825,-60.649578,"-36.732249,-19.591205",-36.732249,-19.591205,1667.35630135321,186.74,Debit Card,WU1899,Motorcycle,Low,No,Tuesday,No,2
198,9/17/23 9:30,"-19.308924,131.911223",-19.308924,131.911223,"-86.03044,87.942891",-86.03044,87.942891,4671.94805853372,487.19,PayPal,WC8391,Motorcycle,High,No,Sunday,No,5
199,6/24/24 12:17,"83.063441,-118.88452",83.063441,-118.88452,"-35.965378,28.344128",-35.965378,28.344128,10602.4168475162,1080.24,PayPal,ZS3653,Bus,Low,Yes,Saturday,No,4
200,2/21/24 1:21,"31.494705,-34.016937",31.494705,-34.016937,"-46.074666,106.371995",-46.074666,106.371995,10831.83492912,1103.18,Debit Card,KL8955,Motorcycle,Medium,Yes,Sunday,No,2
201,12/27/22 15:57,"34.41887,102.248834",34.41887,102.248834,"59.961907,-116.990366",59.961907,-116.990366,2995.58486097617,319.56,Cash,WZ1212,Sedan,Medium,Yes,Saturday,Yes,4
202,2/3/22 3:31,"-38.716787,-98.313937",-38.716787,-98.313937,"42.665423,-122.954037",42.665423,-122.954037,2989.54873975404,318.95,Apple Pay,EM7417,Sedan,Low,Yes,Wednesday,Yes,5
203,11/13/23 3:33,"87.737503,-135.80075",87.737503,-135.80075,"-32.83004,-95.157664",-32.83004,-95.157664,9343.03626710405,954.30,Cash,QL7496,Motorcycle,Low,Yes,Wednesday,Yes,1
204,2/19/22 19:31,"40.190299,70.132241",40.190299,70.132241,"-71.142472,158.798324",-71.142472,158.798324,4415.78900152562,461.58,Apple Pay,UQ7465,Sedan,High,Yes,Friday,No,3
205,5/9/22 2:24,"-20.096224,64.690125",-20.096224,64.690125,"53.406422,165.873363",53.406422,165.873363,8129.21461150141,832.92,Cash,IJ8124,SUV,High,Yes,Monday,Yes,3
206,7/27/22 0:34,"-84.16294,-79.159422",-84.16294,-79.159422,"-43.504053,-62.860935",-43.504053,-62.860935,391.755993222472,59.18,Apple Pay,TW8575,Bus,High,No,Sunday,Yes,2
207,3/27/24 0:01,"17.211022,166.223075",17.211022,166.223075,"70.464808,-57.228578",70.464808,-57.228578,3481.00883937724,368.10,Visa,EO6621,Sedan,Medium,No,Wednesday,Yes,4
208,2/4/24 23:19,"54.701819,-35.286434",54.701819,-35.286434,"83.196251,-162.259134",83.196251,-162.259134,9111.65214642219,931.17,Cash,QX6190,Motorcycle,High,No,Wednesday,Yes,2
209,1/10/24 0:00,"82.772477,165.80854",82.772477,165.80854,"-82.783592,38.988197",-82.783592,38.988197,4981.60214372101,518.16,Visa,GS5951,Motorcycle,Low,No,Monday,No,3
210,7/16/23 6:29,"54.716674,130.793247",54.716674,130.793247,"36.95024,-123.347182",36.95024,-123.347182,917.149481559943,111.71,PayPal,JL6062,Sedan,Medium,Yes,Wednesday,No,5
211,8/12/23 8:14,"-41.417951,157.510796",-41.417951,157.510796,"-24.816925,-25.62931",-24.816925,-25.62931,11128.7848898574,1132.88,Apple Pay,GO4898,Motorcycle,Medium,Yes,Sunday,No,5
212,7/7/24 14:30,"68.25662,10.252318",68.25662,10.252318,"89.05444,86.137202",89.05444,86.137202,4010.16206480953,421.02,Debit Card,OP0723,Bus,Low,Yes,Thursday,No,4
213,7/29/24 18:51,"-88.450776,-23.449279",-88.450776,-23.449279,"-75.817494,50.455497",-75.817494,50.455497,4662.22727982653,486.22,Cash,YR4444,Sedan,Medium,No,Thursday,Yes,1
214,3/4/22 6:21,"90.880544,-179.47787",90.880544,-179.47787,"-26.686916,-10.557571",-26.686916,-10.557571,6196.41194614248,639.64,Cash,MR5469,SUV,High,No,Monday,No,3
215,10/3/22 11:19,"9.209464,-8.288917",9.209464,-8.288917,"-63.077603,143.727791",-63.077603,143.727791,10606.2409097788,1080.62,Apple Pay,WO8312,Sedan,Low,Yes,Tuesday,Yes,5
216,10/15/24 20:30,"-60.473732,109.402522",-60.473732,109.402522,"-15.528207,-18.378492",-15.528207,-18.378492,11733.4917576541,1193.35,Apple Pay,HK3463,Motorcycle,Low,No,Wednesday,Yes,1
217,5/20/24 23:42,"-55.769467,-4.278144",-55.769467,-4.278144,"-71.964624,48.490999",-71.964624,48.490999,7107.72910008241,730.77,Debit Card,LM3098,SUV,Medium,Yes,Saturday,No,5
218,2/25/23 2:37,"-75.907845,-79.452761",-75.907845,-79.452761,"-47.638142,-176.9137",-47.638142,-176.9137,1539.89165445945,173.99,Cash,YU1059,Motorcycle,Medium,Yes,Saturday,Yes,4
219,10/13/24 11:03,"-57.422907,76.13523",-57.422907,76.13523,"80.374906,163.57075",80.374906,163.57075,9908.6725191586,1010.87,Visa,JT0341,Bus,High,Yes,Friday,Yes,4
220,12/25/24 5:44,"-47.807396,18.546123",-47.807396,18.546123,"11.440713,140.884507",11.440713,140.884507,8969.29019793328,916.93,Apple Pay,VX7467,Sedan,Low,Yes,Friday,No,1
221,2/18/23 23:22,"-19.357045,2.462687",-19.357045,2.462687,"33.858246,-54.611224",33.858246,-54.611224,6175.49283688216,637.55,Cash,LX9642,Motorcycle,Medium,Yes,Monday,Yes,4
222,1/12/22 16:04,"2.312747,130.441929",2.312747,130.441929,"86.835115,-170.429592",86.835115,-170.429592,5528.02257154249,572.80,Debit Card,RY0026,Motorcycle,High,No,Tuesday,Yes,2
223,6/11/22 7:28,"-53.970346,-66.366538",-53.970346,-66.366538,"-31.803518,-141.994441",-31.803518,-141.994441,3367.70516850005,356.77,Visa,QY5416,SUV,Low,No,Tuesday,No,5
224,3/17/22 18:31,"79.34188,148.192299",79.34188,148.192299,"-81.893503,-49.266056",-81.893503,-49.266056,4651.55140456889,485.16,Debit Card,UB0656,Motorcycle,High,Yes,Sunday,No,3
225,5/9/22 21:31,"-15.074615,-6.640216",-15.074615,-6.640216,"57.34148,-16.832511",57.34148,-16.832511,5047.15420854154,524.72,Visa,DH1759,Bus,Low,No,Thursday,Yes,3
226,5/26/23 19:19,"49.401247,-153.828131",49.401247,-153.828131,"31.576494,-104.472288",31.576494,-104.472288,5879.58366879681,607.96,Cash,VY0693,Sedan,Low,No,Wednesday,Yes,1
227,12/19/22 8:36,"-69.179942,-149.004783",-69.179942,-149.004783,"-52.015727,37.90314",-52.015727,37.90314,4232.58984032193,443.26,Debit Card,TW3782,Bus,Low,No,Tuesday,Yes,4
228,8/30/23 20:01,"85.900516,17.594241",85.900516,17.594241,"-50.125125,-74.874237",-50.125125,-74.874237,4746.43175068056,494.64,Debit Card,LY4541,Bus,Medium,Yes,Friday,No,2
229,7/18/23 23:23,"28.799683,-146.137552",28.799683,-146.137552,"-81.052944,-66.050663",-81.052944,-66.050663,11486.7139740894,1168.67,Apple Pay,RR8875,Motorcycle,Low,No,Thursday,Yes,4
230,2/16/23 14:35,"-48.560562,-124.508972",-48.560562,-124.508972,"-74.657867,84.583529",-74.657867,84.583529,998.672433986161,119.87,Apple Pay,ZP5866,SUV,Medium,No,Sunday,Yes,5
231,11/9/22 5:25,"-75.849891,60.684066",-75.849891,60.684066,"-22.68715,85.118403",-22.68715,85.118403,10495.5190284296,1069.55,Cash,IL1583,SUV,Low,Yes,Friday,No,1
232,9/8/23 7:43,"65.490145,-85.058411",65.490145,-85.058411,"72.559068,-93.74398",72.559068,-93.74398,11073.4837638333,1127.35,Debit Card,PK0131,Motorcycle,Medium,Yes,Sunday,No,5
233,9/16/22 15:31,"-28.456149,-103.752267",-28.456149,-103.752267,"-18.651772,38.012019",-18.651772,38.012019,4811.74022255205,501.17,Apple Pay,VC3067,Bus,High,Yes,Monday,No,1
234,1/27/24 22:05,"-50.612822,-114.64361",-50.612822,-114.64361,"-51.291502,-23.16942",-51.291502,-23.16942,4285.6058701858,448.56,Debit Card,TS0643,Bus,Medium,Yes,Saturday,Yes,3
235,6/14/22 11:25,"72.646678,-101.558933",72.646678,-101.558933,"-21.904217,114.028464",-21.904217,114.028464,10582.2207718775,1078.22,Debit Card,WC5797,Sedan,High,No,Monday,No,2
236,12/20/22 19:03,"-3.484225,-139.036385",-3.484225,-139.036385,"-16.953594,135.986539",-16.953594,135.986539,3087.18034427608,328.72,Debit Card,IR0976,Motorcycle,High,Yes,Thursday,Yes,3
237,11/16/22 0:52,"81.879846,59.997404",81.879846,59.997404,"-48.842331,-91.865569",-48.842331,-91.865569,1702.45872110486,190.25,Visa,XB4195,Motorcycle,Medium,Yes,Wednesday,Yes,1
238,5/29/22 11:33,"-87.57022,-75.22534",-87.57022,-75.22534,"61.155716,-145.082829",61.155716,-145.082829,1173.78265316297,137.38,Apple Pay,PN8417,SUV,High,Yes,Friday,No,1
239,11/27/22 2:19,"18.661481,-145.806934",18.661481,-145.806934,"28.16203,83.795909",28.16203,83.795909,8877.35648292016,907.74,Debit Card,XO7663,Sedan,Low,No,Friday,No,1
240,7/16/23 17:06,"-5.996719,-44.376906",-5.996719,-44.376906,"-75.469464,-120.20893",-75.469464,-120.20893,3779.00839501804,397.90,PayPal,XX0014,Sedan,High,No,Tuesday,No,3
241,6/20/22 23:37,"14.28246,98.593532",14.28246,98.593532,"74.540763,63.638838",74.540763,63.638838,5815.29246558407,601.53,PayPal,HN9809,Motorcycle,Medium,No,Friday,Yes,2
242,9/24/24 23:11,"32.271313,53.396666",32.271313,53.396666,"59.854234,-95.832042",59.854234,-95.832042,6340.81412894145,654.08,Visa,WF9677,Sedan,Medium,Yes,Thursday,Yes,1
243,10/17/24 16:19,"19.884186,26.097219",19.884186,26.097219,"-24.408888,-66.054765",-24.408888,-66.054765,2672.4297433696,287.24,Debit Card,EF2694,Motorcycle,Medium,Yes,Wednesday,No,2
244,7/24/24 1:39,"90.702432,62.956297",90.702432,62.956297,"-70.85515,16.671219",-70.85515,16.671219,1871.33036760128,207.13,Cash,GS6527,Motorcycle,Medium,No,Saturday,Yes,2
245,2/26/24 1:55,"-1.565567,53.842331",-1.565567,53.842331,"0.907746,-49.722032",0.907746,-49.722032,4794.44290625002,499.44,Visa,IF7406,Sedan,Low,No,Tuesday,No,5
246,6/30/22 19:11,"9.413423,-108.781655",9.413423,-108.781655,"26.926272,-147.038488",26.926272,-147.038488,5578.52334600636,577.85,Cash,PS9531,Sedan,High,Yes,Thursday,No,3
247,10/22/23 21:41,"-22.434365,33.418378",-22.434365,33.418378,"-66.130006,155.574765",-66.130006,155.574765,9800.03456561312,1000.00,Debit Card,VE5978,Sedan,High,No,Thursday,No,4
248,9/10/22 20:51,"14.14242,32.602731",14.14242,32.602731,"63.733819,117.092324",63.733819,117.092324,3575.38330326715,377.54,Debit Card,DQ0918,SUV,Low,No,Saturday,No,2
249,9/21/22 9:14,"60.505526,-109.464773",60.505526,-109.464773,"3.9914,149.102914",3.9914,149.102914,9212.14725493099,941.21,Cash,XR5408,SUV,High,No,Thursday,No,2
250,9/16/23 4:48,"-3.737557,-71.733328",-3.737557,-71.733328,"40.556062,-120.533309",40.556062,-120.533309,7153.81796883207,735.38,PayPal,FP8822,Motorcycle,Low,Yes,Tuesday,No,4
251,3/12/22 15:18,"2.931988,48.916224",2.931988,48.916224,"-15.354216,91.661332",-15.354216,91.661332,6828.89989541267,702.89,Visa,EA0420,Bus,High,Yes,Monday,No,3
252,3/15/24 3:03,"-45.227268,-107.959519",-45.227268,-107.959519,"-65.591947,-152.665269",-65.591947,-152.665269,3342.72781342174,354.27,Visa,RY2236,Motorcycle,Low,Yes,Sunday,Yes,1
253,10/29/22 15:54,"24.488738,161.813034",24.488738,161.813034,"67.939613,85.18406",67.939613,85.18406,9268.33148559817,946.83,Visa,WB7408,Sedan,High,No,Wednesday,No,1
254,6/19/22 16:47,"78.191389,62.160641",78.191389,62.160641,"55.951472,56.448406",55.951472,56.448406,1107.73750317381,130.77,PayPal,YL6201,Sedan,Low,Yes,Sunday,No,3
255,12/17/24 16:14,"63.530194,99.301421",63.530194,99.301421,"33.506824,-112.828536",33.506824,-112.828536,1338.85894572018,153.89,Cash,CK6423,SUV,Low,No,Thursday,Yes,3
256,8/14/22 21:21,"-74.089895,-18.598389",-74.089895,-18.598389,"-3.915323,-2.21831",-3.915323,-2.21831,3834.87650151789,403.49,PayPal,JJ5456,Sedan,Medium,No,Sunday,No,5
257,8/2/22 10:48,"-66.963799,4.853013",-66.963799,4.853013,"-38.249699,79.321866",-38.249699,79.321866,7253.22490235398,745.32,Visa,DM1838,Bus,Medium,No,Friday,No,5
258,7/11/24 14:01,"-69.663002,-118.599046",-69.663002,-118.599046,"-60.164621,102.035054",-60.164621,102.035054,759.451510053001,95.95,PayPal,DT8707,SUV,High,Yes,Monday,No,2
259,2/15/23 9:19,"-42.131926,-63.666418",-42.131926,-63.666418,"-30.375638,-30.05086",-30.375638,-30.05086,1488.03839590105,168.80,Visa,RW2645,SUV,Medium,No,Saturday,Yes,3
260,5/2/22 3:28,"-14.504217,-141.844994",-14.504217,-141.844994,"-66.23644,21.547137",-66.23644,21.547137,5721.47412273914,592.15,Apple Pay,HQ8435,Bus,Low,Yes,Thursday,Yes,2
261,10/6/23 21:26,"-39.802112,-170.543689",-39.802112,-170.543689,"-64.994201,58.090525",-64.994201,58.090525,4059.12946681252,425.91,Debit Card,DP8624,Bus,High,No,Friday,Yes,1
262,6/6/24 18:53,"-55.202197,-172.892931",-55.202197,-172.892931,"-48.260288,-13.795952",-48.260288,-13.795952,7699.27728439257,789.93,PayPal,PM8678,Bus,Medium,No,Tuesday,Yes,3
263,2/21/23 18:38,"-2.51667,-27.510312",-2.51667,-27.510312,"-55.124558,70.880582",-55.124558,70.880582,8294.4632284922,849.45,Debit Card,XF1641,Bus,Low,Yes,Wednesday,Yes,3
264,9/20/24 6:09,"90.196353,-172.58952",90.196353,-172.58952,"45.086647,-85.001235",45.086647,-85.001235,6739.56411364357,693.96,Debit Card,BE9697,Sedan,High,No,Sunday,Yes,5
265,5/9/23 2:10,"-77.815357,109.636018",-77.815357,109.636018,"-30.179486,-26.099715",-30.179486,-26.099715,11917.2352896636,1211.72,Apple Pay,CR6362,Sedan,High,Yes,Thursday,No,1
266,2/15/23 13:45,"54.110695,112.407068",54.110695,112.407068,"-48.259033,-72.669014",-48.259033,-72.669014,3934.49639050853,413.45,Apple Pay,KA1597,Motorcycle,High,No,Friday,Yes,4
267,8/24/22 12:41,"-66.138931,-155.454204",-66.138931,-155.454204,"73.276331,-37.881901",73.276331,-37.881901,4087.41570215933,428.74,Apple Pay,PX4152,Motorcycle,Low,Yes,Thursday,No,5
268,8/21/22 3:25,"-25.356542,-167.701055",-25.356542,-167.701055,"71.95526,146.524815",71.95526,146.524815,6789.64654153092,698.96,Debit Card,GB4747,SUV,Medium,No,Tuesday,No,1
269,2/6/23 4:28,"20.388053,136.841658",20.388053,136.841658,"-21.915734,-147.882319",-21.915734,-147.882319,3469.87281024943,366.99,Debit Card,UB3710,Motorcycle,Low,No,Friday,Yes,5
270,5/9/24 15:19,"63.26846,-101.707695",63.26846,-101.707695,"-29.711139,127.620617",-29.711139,127.620617,9826.73445355808,1002.67,Apple Pay,YH4577,Sedan,Low,No,Tuesday,Yes,4
271,6/4/22 23:21,"7.599933,-133.681994",7.599933,-133.681994,"-17.676562,116.251931",-17.676562,116.251931,4678.59569006957,487.86,Debit Card,IX8101,Sedan,High,Yes,Sunday,Yes,5
